[@爆率]
{
#CHILD 1/1
(
1/1  神运战盔
1/1  附魔法盔
1/1  奇迹道盔
1/1  乾坤神镯
1/1  倥侗神镯
1/1  鸣鸿神镯
)


#CHILD 1/1000 RANDOM
(
1/1  曜月嵌星
1/1  斗转星移
1/1  鎏金点翠
1/1  力量源泉
1/1  金刚不破
1/1  降龙伏虎
)


#CHILD 1/1000 RANDOM
(
1/1  禁锢武坠
1/1  破魔法坠
1/1  昆吾道坠
1/1  破血狂攻
1/1  寒雉霜蚕
1/1  翡翠曜冠
1/1  缠神索
1/1  困惑镯
1/1  灵犀腕
)

#CHILD 1/1000 RANDOM
(
1/1  鬼斧神工
1/1  浩然正气
1/1  神机妙算
)






#CHILD 1/5 RANDOM
(
1/1  天魔神甲
1/1  圣战宝甲
1/1  法神披风
1/1  霓裳羽衣
1/1  天尊道袍
1/1  天师长袍
1/1  怒斩
1/1  龙牙
1/1  逍遥扇
1/1  神行履
1/1  奇相带
1/1  虹魔龙戒
1/1  英雄龙指
1/1  狂风龙戒
)


#CHILD 1/10 RANDOM
(
1/1  法玛战甲
1/1  法玛战袍
1/1  英雄披风
1/1  英雄羽衣
1/1  记忆道袍
1/1  记忆长袍
1/1  破馆珍剑
1/1  屠龙
1/1  嗜魂法杖
1/1  霸者之刃
1/1  踏云履
1/1  共工带
1/1  英雄龙戒
1/1  英雄龙指
)

#CHILD 1/30 RANDOM
(
1/1  金钟罩
1/1  金钟袍
1/1  铁布衫
1/1  铁布袍
1/1  奇门甲
1/1  奇门袍
1/1  圆月弯刀
1/1  碧血剑
1/1  无极禅棍
1/1  追日靴
1/1  祝融带
1/1  法玛龙戒
1/1  法玛龙指
)

#CHILD 1/50 RANDOM
(
1/1  龙翼甲
1/1  龙翼袍
1/1  星辰甲
1/1  星辰袍
1/1  浮沉甲
1/1  浮沉袍
1/1  法玛战刃
1/1  英雄权杖
1/1  乾坤道扇
1/1  马踏千里
1/1  飞廉带
1/1  光辉龙戒
1/1  光辉龙指
)


#CHILD 1/100 RANDOM
(
1/1  耀世战甲
1/1  耀世战袍
1/1  烈焰披风
1/1  烈焰羽衣
1/1  灵魂道袍
1/1  灵魂长袍
1/1  青龙偃月刀
1/1  丈八点金矛
1/1  豪龙胆
1/1  追星踏月
1/1  萍翳带
1/1  光辉龙戒
1/1  光辉龙指
)


#CHILD 1/200 RANDOM
(
1/1  火神战甲
1/1  火神战袍
1/1  雷神披风
1/1  雷神羽衣
1/1  风神道袍
1/1  风神长袍
1/1  乙木神剑
1/1  暗黑法杖
1/1  天虹宝剑
1/1  王者龙戒
1/1  王者龙指
1/1  无影无踪
1/1  后羿带
)


#CHILD 1/300 RANDOM
(
1/1  逐鹿战甲
1/1  逐鹿战袍
1/1  苍月披风
1/1  苍月羽衣
1/1  无尘道袍
1/1  无尘长袍
1/1  龙渊
1/1  承影
1/1  赤霄
1/1  神武龙戒
1/1  神武龙指
1/1  行云流水
1/1  句芒带
)


#CHILD 1/600 RANDOM
(
1/1  盖世战甲
1/1  盖世战袍
1/1  五彩披风
1/1  五彩羽衣
1/1  仙尊道袍
1/1  仙尊长袍
1/1  轩辕剑
1/1  纯钧
1/1  湛卢
1/1  盛世龙戒
1/1  盛世龙指
1/1  飞雯焕日
1/1  蓐收带
)

#CHILD 1/800 RANDOM
(
1/1  传世战甲
1/1  传世战袍
1/1  神创披风
1/1  神创羽衣
1/1  诛仙道袍
1/1  诛仙长袍
1/1  倚天剑
1/1  神龙法杖
1/1  破馆道扇
1/1  盛世龙戒
1/1  盛世龙指
1/1  踏雪无痕
1/1  后土带
)


#CHILD 1/1000 RANDOM
(
1/1  游龙战甲
1/1  游龙战袍
1/1  不朽披风
1/1  不朽羽衣
1/1  造化道袍
1/1  造化长袍
1/1  游龙剑
1/1  流星蝴蝶剑
1/1  纯阳扇
1/1  天神龙戒
1/1  天神龙指
1/1  万里追云
1/1  天吴带
)


#CHILD 1/1000 RANDOM
(
1/1  混沌战甲
1/1  混沌战袍
1/1  上古披风
1/1  上古羽衣
1/1  奇迹道袍
1/1  奇迹长袍
1/1  绝世好剑
1/1  太昊杖
1/1  指天剑
1/1  天神龙戒
1/1  天神龙指
1/1  凌波微步
1/1  夸父带
)


#CHILD 1/1000 RANDOM
(
1/1  天神庇佑(男)
1/1  天神庇佑(女)
1/1  巧夺天工(男)
1/1  巧夺天工(女)
1/1  天外飞仙(男)
1/1  天外飞仙(女)
1/1  定海神铁
1/1  魅影之杖
1/1  天涯明月
1/1  璀璨龙戒
1/1  璀璨龙指
1/1  乘风破浪
1/1  伏羲带
)




}
